Level,Part Number,Qty,Description,Revision,UM,Category,Source,VendorCode,ProductLine,Bin,PurchaseUM,MFG PartNo,MFG Name,Cost
1.1.3.5,      F-DAT-UQ-005-00058,1,XPS-G2 UPPER LEFT WING BOTTOM TUBE,,EA,Pht,F,FAB010,2,P3B,EA,AT5058,Fab Tech,
1.1.3.6,      F-DAT-UQ-005-00059,1,XPS-G2 UPPER WING GUSSET,,EA,Pht,F,FAB010,2,P3B,EA,AT5059,Fab Tech,
1.1.3.7,      F-DAT-UQ-005-00083,1,XPS-G2 UPPER LEFT WING GUSSET,,EA,Pht,F,FAB010,2,P3B,EA,AT5083,Fab Tech,
1.1.4,    A-WAQ-CB-005-00034,1,"18"" UPPER RIGHT WING FRAME",A,EA,Nor,P,FAB010,2,P3B,EA,WD5034,Fab Tech,
1.1.4.1,      F-DAP-UQ-005-00003,1,XPS-G2 OPENER LEVER TAB,,EA,Pht,F,FAB010,2,P3B,EA,AP5003,Fab Tech,
1.1.4.2,      F-DAT-UQ-005-00055,1,XPS-G2 UPPER WING OUTER TUBE,A,EA,Pht,F,FAB010,2,P3B,EA,AT5055,Fab Tech,
1.1.4.3,      F-DAT-UQ-005-00057,1,XPS-G2 UPPER WING TOP TUBE,,EA,Pht,F,FAB010,2,P3B,EA,AT5057,Fab Tech,
1.1.4.4,      F-DAT-UQ-005-00059,1,XPS-G2 UPPER WING GUSSET,,EA,Pht,F,FAB010,2,P3B,EA,AT5059,Fab Tech,
1.1.4.5,      F-DAT-UQ-005-00060,1,XPS-G2 UPPER RIGHT WING INSIDE TUBE,,EA,Pht,F,FAB010,2,P3B,EA,AT5060,Fab Tech,
1.1.4.6,      F-DAT-UQ-005-00061,1,XPS-G2 UPPER RIGHT WING BOTTOM TUBE,,EA,Pht,F,FAB010,2,P3B,EA,AT5061,Fab Tech,
1.1.4.7,      F-DAT-UQ-005-00084,1,XPS-G2 UPPER RIGHT WING GUSSET,,EA,Pht,F,FAB010,2,P3B,EA,AT5084,Fab Tech,
1.1.5,    A-WAQ-CB-005-00036,1,"18"" LOWER LEFT WING FRAME",,EA,Nor,P,FAB010,2,P3B,EA,WD5036,Fab Tech,
